Primer	Panthera_leo	Xiphias_gladius_mitochondrial	Strix_aluco_mitochondrion	Osphranter_rufus_mitochondrial	Chamaeleo_calyptratus_mitochondrion	Iguana_iguana_complete_mitochondrial	Crocodylus_niloticus_complete_mitochondrial	Psittacus_erithacus_mitochondrion	Cyprinus_carpio_mitochondrion	Loxodonta_africana_mitochondrial	Ambystoma_mexicanum_mitochondrion	Phoenicopterus_ruber_roseus_mitochondrion	Ursus_arctos_horribilis	Rana_catesbeiana_mitochondrion	Aquila_chrysaetos_mitochondrion	Salmo_salar_mitochondrion	Naja_naja_mitochondrion	Alligator_mississippiensis_mitochondrial_DNA	Megaptera_novaeangliae_mitochondrial	Carcharodon_carcharias	Rhinella_marina	Amphiprion_ocellaris_mitochondrial	Leptodactylus_fallax_mitochondrion	Aptenodytes_patagonicus_mitochondrion	Ambystoma_tigrinum_tigrinum_mitochondrion
2466																									
3508																									
2836																									
1252																									
1859																									
1385																									
1140																									
1562																									
1561																									
3711																									
3710	11803.0						10853.0		11012.0																
3635																									
3636																									
2970																									
2971																									
1281																									
1282																									
2823																									
2824																									
2825																									
2826																									
2199																									
2200																									
2827																									
2828																									
1737																									
1738																									
1735																									
1736																									
2614																									
2615																									
1278																									
1280																									
1279																									
2223																									
3480		8119.0				7910.0			8096.0							8098.0									
2384																									
2385																									
3676																									
3677																									
2928																									
2929																									
3024																									
3091																									
3025																									
3092																									
3678																									
2017																									
3002																									
1599																									
1598																									
3654																									
1878																									
1532																									
1597																									
1596																									
1592																									
1593																									
1594																									
1595																									
3004																									
1747																									
1536																									
2523																									
1537																									
2324																									
3513																									
3163																									
3514																									
3162																									
1663																									
3318																									
1554																									
3319																									
1721																									
2100																									
3015																									
3503																									
3504																									
2228																									
2229																									
3061																									
3062																									
3262																									
3263																									
2214																									
1683																									
3160																									
3161																									
3497																									
3498																									
1709	2888.0	2013.0		1916.0					1993.0	1922.0	1885.0			2129.0		1994.0	1845.0		1960.0	1994.0	2123.0	2142.0	3524.0		1884.0
1710																									
2248																									
2249																									
1917																									
1918																									
1919																									
2689																									
2690																									
1920																									
2536																									
2537																									
3424																									
2016																									
3423																									
2376																									
2375																									
2499																									
3179																									
2500																									
3180																									
3203																									
2255																									
2860																									
2861																									
2859																									
2858																									
2454																									
2793																									
2794																									
2455																									
2453																									
3086																									
3669																									
3670																									
2530																									
2531																									
3675																									
3674																									
2762																									
2763																									
3306																									
3415																									
3416																									
3307																									
2867																									
2866																									
3017																									
3018																									
3124																									
3125																									
3126																									
3127																									
3128																									
3129																									
3130																									
3131																									
3132																									
3133																									
3134																									
3135																									
3136																									
3137																									
3138																									
3139																									
3140																									
3141																									
3446																									
3447																									
3272																									
3273																									
3411																									
3412																									
3472																									
3471																									
3469																									
3470																									
3762																									
3763																									
3790																									
3760																									
3761																									
3773																									
3774																									
3775																									
3776																									
3778																									
3782																									
3781																									
